,ENTITY,STORY,YEAR,ORGANISATION,METHOD OF LEAK,NO OF RECORDS STOLEN,DATA SENSITIVITY,SOURCE NAME
1,AOL, A former America Online software engineer stole 92 million screen names and e-mail addresses and sold them to spammers who sent out up to 7 billion unsolicited e-mails.,2004,web,"inside job, hacked",92000000,1,CNN
2,Ameritrade Inc.,online broker,2005,financial,lost / stolen media,200000,20,
3,Automatic Data Processing,,2005,financial,poor security,125000,20,ABC
4,Cardsystems Solutions Inc. ,"CardSystems was fingered by MasterCard after it spotted fraud on credit card accounts and found a common thread, tracing it back to CardSystems.  An unauthorized entity put a specific code into CardSystems' network, enabling the person or group to gain access to the data. It's not clear how many of the 40 million accounts were actually stolen. ",2005,financial,hacked,40000000,300,MSNBC
5,Citigroup,Blame the messenger! A box of computer tapes containing information on 3.9 million customers was lost by United Parcel Service (UPS) while in transit to a credit reporting agency.,2005,financial,lost / stolen media ,3900000,300,NY Times
6,AOL,"Durp. AOL VOLUNTARILY released search data for roughly 20 million web queries from 658,000 anonymized users of the service. No one is quite sure why.",2006,web,accidentally published,20000000,1,Tech Crunch
7,Countrywide Financial Corp,,2006,financial,inside job,2600000,300,ITRC
8,Hewlett Packard,"Laptop lost/stolen containing employee data: names, addresses, Social Security numbers, dates of birth and other employment-related information.",2006,"tech, retail",lost / stolen media,200000,20,
9,KDDI,"Press report: ""Tokyo police have arrested two men for trying to extort nearly US$90,000 from KDDI Corp. The pair allegedly threatened to disclose the existence of storage media containing personal data belonging to four million KDDI customers prior to a shareholder meeting; however, KDDI alerted the police as soon as they were contacted by the blackmailers; the police monitored communications between KDDI and the pair for several weeks. """,2006,telecoms,hacked,4000000,1,Computer World
10,"T-Mobile, Deutsche Telecom","Thieves got their hands on a storage device with the data, which included the names, addresses, cell phone numbers, and some birth dates and e-mail addresses for high-profile German citizens. The company said the records did not contain bank details, credit card numbers, or call data.",2006,telecoms,lost / stolen media ,17000000,1,Data Loss Database
11,US Dept of Vet Affairs,The Veterans Affairs Department agreed to pay $20 million to settle a class action lawsuit over the loss of a laptop. The department originally took three weeks to report the theft. The laptop was recovered with the data apparently intact a month after it was reported stolen. But it is impossible to say with absolute certainty that the data was not accessed and copied.  ,2006,"government, military",lost / stolen computer,26500000,20,
12,City and Hackney Teaching Primary Care Trust,Heavily encrypted disks containing details of children are lost by couriers.,2007,government,lost / stolen media,"160,000",20,
13,Compass Bank,"A former employee stole a hardrive containing 1m account details from the bank, then used it to defraud cutomers of nearly $32,000.",2007,financial,inside job,1000000,300,ITRC
14,Dai Nippon Printing,"A former contractor of Dai Nippon Printing Company in Tokyo, Japan stole 8.6 million records containing the personal data of customers of 43 of the company's clients. ",2007,retail,inside job,8637405,1,USA Today
15,Driving Standards Agency,"Hard disk with details of candidates for the driving theory test was lost in a premises in Iowa by subcontractors. Only names, addresses and phone numbers. ",2007,government,lost / stolen media,"3,000,000",20,
16,"Driving Standards Agency,",,2007,government,lost / stolen media,3000000,20,
17,Fidelity National Information Services,,2007,financial,inside job,8500000,300,
18,Gap Inc,"Stolen laptop which contained social security numbers, data on people who applied for positions at Gap stores, including Banana Republic and Old Navy, between July 2006 and June 2007.",2007,retail,lost / stolen computer,800000,20,PC World
19,Hannaford Brothers Supermarket Chain,An estimated 4.2 million credit and debit card numbers were stolen.,2007,retail,hacked,4200000,300,ITRC
20,Monster.com,"A trojan virus stole log-ins that were used to harvest user names, e-mail addresses, home addresses and phone numbers. Soon after phishing e-mails encouraged users to download a Monster Job Seeker Tool, which was in fact a program that encrypted files in their computer and left a ransom note demanding money for their decryption.",2007,web,hacked,1600000,20,BBC
21,TD Ameritrade,TD Ameritrade settled a class action lawsuit to compensate as many as 6.3 million TD Ameritrade customers whose data was stolen by hackers costing the Nebraska online brokerage firm less than $2 per victim.,2007,financial,hacked,6300000,1,Wired
22,Texas Lottery,"Data on more than 89,000 lottery winners (including names, Social Security numbers, addresses and prize amounts )were taken from the agency without permission by a former computer analyst who copied the password-free data. The employee added he wanted the information ""for possible future reference as a programmer at other state agencies.""",2007,government,inside job,89000,20,ITRC
23,TK / TJ Maxx,"Hackers hacked a Minnesota store wifi network and stole data from credit and debit cards of shoppers at off-price retailers TJX, owners of nearly 2,500 stores, including T.J. Maxx and Marshalls. This case is believed to be the largest such breach of consumer information.",2007,retail,hacked,94000000,300,ZD Net
24,UK Revenue & Customs,A set of discs containing confidential details of 25 million child benefit recipients was lost.,2007,government,lost / stolen media ,25000000,1,BBC News
25,AT&T,A laptop was stolen from a car containing unencrypted SocialSecurity numbers and bonus/salary info of AT&T employees.,2008,telecoms,lost / stolen computer,113000,1,ITRC
26,Auction.co.kr,,2008,web,hacked,18000000,300,
27,BNY Mellon Shareowner Services,"A back-up tape, containing over 12 million customers records were lost.",2008,financial,lost / stolen media ,12500000,1,ITRC
28,Chile Ministry Of Education,A computer hacker in Chile published confidential records belonging to six million people to illustrate the weakness of their security. ,2008,government,accidentally published,6000000,1,BBC News
29,Data Processors International,,2008,financial,hacked,5000000,1,CNN
30,GS Caltex,"Two multimedia discs containing the names, social security numbers, addresses, cell phone numbers, email addresses and workplaces of Korean customers sorted by age were stolen. They were found by an office worker in a backstreetâ€™s trash pile in Seoul. Experts say a GS Caltex employee likely stole the information for personal purposes given there were no signs of hacking.",2008,energy,inside job,11100000,20,Data Loss Database
31,Jefferson County,"""Jefferson County Clerk Jennifer Maghan said she unveiled a new online search tool that enabled residents and business professionals to access nearly 1.6 million documents that are stored in her office via their home computers""",2008,government,accidentally published,1600000,20,ITRC
32,Norwegian Tax Authorities,"""Tax authorities said they had accidentally sent CD-ROMs filled with the 2006 tax returns of nearly four million people living in Norway, a country of just 4.6 million inhabitants, to the editorial staff at national newspapers, radios and television stations.""",2008,government,accidentally published,3950000,20,Info Watch
33,RBS Worldpay,"The hack primarily effected U.S. prepaid and the gift card issuing business of RBS Worldpay. Actual fraud has been committed on approximately 100 cards.  Certain personal information of approximately 1.5 million cardholders and other individuals may have been affected and, of this group, Social Security numbers of 1.1 million people may have been accessed.",2008,financial,hacked,1500000,20,The Register
34,Service Personnel and Veterans Agency (UK),Stolen USBs containing personal information about private lives of staff. ,2008,government,lost / stolen media,50000,20,
35,Stanford University,"Tens of thousands of past and current Stanford University employees had personal information - including their dates of birth, Social Security numbers and home addresses - stored on the hard drive of a stolen university laptop.",2008,academic,lost / stolen computer,72000,20,ITRC
36,Starbucks,"A laptop was stolen that contained private information on 97,000 employees, including names, addresses and Social Security numbers. Employees tried to sue Starbucks in California winning their case in the appeals court before losing in the higher federal court as they were unable to prove any cognizable harm or injury.",2008,retail,lost / stolen computer,97000,20,ITRC
37,UK Home Office,"PA Consulting lost an unencrypted memory stick containing details of high risk, prolific and other offenders.",2008,government,lost / stolen media,84000,20,
38,UK Ministry of Defence,"Hard drive containing very sensitive details of Armed Forces personnel - passport & national insurance numbers, bank details etc - went missing. Loss was revealed during National Identity Fraud Prevention Week. ",2008,government,lost / stolen media,1700000,50000,
39,University of Miami,"Thieves stole a briefcase containing data tapes out of a vehicle used by a private off-site storage company. Anyone who had been a patient of a University of Miami physician or visited a UM facility since 1999 is likely included on the tapes. The data included names, addresses, Social Security numbers and health information. 47,000 of these records may have included credit card or other financial information regarding bill payment.",2008,academic,lost / stolen computer,2100000,300,ITRC
40,University of Utah Hospitals & Clinics,The data tapes were stolen by petty thieves from an employee's car. According to police reports the thieves tried - and failed - to view the tapes using a VHS player.,2008,academic,lost / stolen media,2200000,4000,ITRC
41,"Affinity Health Plan, Inc.",A rented photocopier used to copy health records did not have its hard-drive wiped before its return. ,2009,healthcare,lost / stolen media ,344579,4000,
42,"AvMed, Inc.","Two company laptops containing names, addresses, dates of birth, Social Security numbers and health-related information. ",2009,healthcare,lost / stolen computer,1220000,20,
43,Blue Cross Blue Shield of Tennessee,"A thief stole 57 hard drives from the closet of a BlueCross call center in Chattanooga, Tenn. Data on the stolen hard drives was encoded but not encrypted. Bluecross stated there was no evidence the information was accessed due to the specialized nature of the hardware stolen. ",2009,healthcare,lost / stolen media ,1023209,20,ITRC
44,CheckFree Corporation,Customers who went to CheckFree's Web sites between 12:35 a.m. and 10:10 a.m. on the day of the attack were redirected to a Ukrainian Web server that used malicious software to try and install a password-stealing program on the victim's computer.,2009,financial,hacked,5000000,1,Computer World
45,Health Net ,A portable hard drive with seven years of personal and medical information on about 1.5 million Health Net customers was lost for six months before being reported. ,2009,healthcare,lost / stolen media ,1500000,4000,ITRC
46,Heartland,"The biggest credit card scam in history, Heartland eventually paid more than $110 million to Visa, MasterCard, American Express and other card associations to settle claims related to the breach.",2009,financial,hacked,130000000,300,Guardian
47,Network Solutions,"A large-scale infection of WordPress-driven blogs with malicious code led to the compromise of 573,000 debit and credit cards.",2009,tech,hacked,573000,300,ITRC
48,RockYou!,"The site did not allow users to use special characters or punctuation in their passwords and e-mailed user passwords in plain text. Hackers took advantage of these security lapses, using simple techniques to gain access to 32 million user accounts.",2009,"web, gaming",hacked,32000000,4000,Tech Crunch
49,University of California Berkeley,,2009,academic,hacked,160000,300,ITRC
50,US Dept of Defense,"""According to a report to Congress, assessment forms of 72,000 service members who returned from deployment to Iraq or Afghanistan between Jan 1, 2007 to May 31, 2008 were breached. The forms ask for the service member's SSN,. Name, date of birth.""",2009,military,lost / stolen media ,72000,20,ITRC
51,US Military,"Without first destroying the data the agency sent back a defective unencrypted hard drive for repair and recycling which held detailed records on 76 million veterans, including millions of Social Security numbers dating to 1972.",2009,military,lost / stolen media ,76000000,20,ITRC
52,US National Guard,"About 131,000 former and current Army Guard members potentially affected  when a personal laptop owned by an Army Guard contractor was stolen. Database incuded names, Social Security Numbers, incentive payment amounts and payment dates.",2009,military,lost / stolen computer,131000,20,ITRC
53,Virginia Dept. Of Health,An extortion demand posted on WikiLeaks sought $10 million to return over 8 million patient records and 35 million prescriptions allegedly stolen from Virginia Department of Health Professions.  All 36 servers were shut down  to protect records.,2009,"government, healthcare",hacked,8257378,4000,ITRC
54,Virginia Prescription Monitoring Program,"A hacker, who was never arrested, demanded a $10 million ransom for a breach effecting 530,000 Virginians. Social security numbers may have been taken. The data was found in a database containing 35 million prescription records.",2009,healthcare,hacked,531400,20,ITRC
55,"Ankle & foot Center of Tampa Bay, Inc.","The information hacked included information such as patient names, social security numbers, date of birth, home addressees, account numbers, and healthcare services and related diagnostic codes.",2010,healthcare,hacked,156000,4000,
56,AT&T,"Details of iPad 3G users hacked from AT&T website, thought to include those of White House chief of staff Rahm Emanuel.",2010,telecoms,hacked,114000,1,Guardian
57,Betfair,"Betfair waited 18 months to report the breach of their online gambling site, alarming banking institutions and security experts. Betfair's systems breach, which occurred in March and April 2010, was not uncovered until this past May, when a server crashed.",2010,web,hacked,2300000,300,ITRC
58,Classified Iraq War documents,Wikileaks,2010,government,inside job,392000,20,
59,Colorado government,,2010,healthcare,lost / stolen computer,105470,20,
60,Educational Credit Management Corp,"A contractor for the US Department of Education stole the records of 3.3 million people. Data included names, addresses, Social Security numbers and dates of birth of borrowers, but no financial or bank account information.",2010,financial,lost / stolen media,3300000,20,ITRC
61,Embassy Cables,Wikileaks,2010,government,inside job,251000,50000,
62,"Emergency Healthcare Physicians, Ltd.","The stolen portable hard drive is believed to have contained records from 2003 to 2006 that included patient names, addressees, phone numbers, birth dates, Social Security numbers, and, in some cases, drivers' license numbers.",2010,healthcare,lost / stolen media,180111,4000,
63,Gawker.com,"Hacked. 1.5 Million usernames, emails, passwords taken.",2010,web,hacked,1500000,20,Guardian
64,JP Morgan Chase,"In 2007, the personal information of approximately 2.6 million current and former holders of a Chase-Circuit City credit card had been mistakenly identified as trash and thrown out in garbage bags outside five branch offices in New York.",2010,financial,lost / stolen media ,2600000,300,ITRC
65,Lincoln Medical & Mental Health Center,"130,495 patients lost their protected health information after seven CDs were lost in transit.",2010,healthcare,lost / stolen media ,130495,4000,
66,New York City Health & Hospitals Corp.,,2010,healthcare,lost / stolen media ,1700000,4000,
67,Ohio State University,,2010,academic,hacked,760000,20,ITRC
68,Puerto Rico Department of Health,"Double whammy. Two separate breaches. On September 3rd, 2010 data on 115,000 people was stolen from unauthorized access of an electronic device, on the 21st they reported an additional 400,000 records were hacked. ",2010,healthcare,hacked,515000,4000,
69,"Seacoast Radiology, PA","Computer gamers hacked a server at Seacoast Radiology in Rochester in search of more bandwidth in November to play Call of Duty: Black Ops. In the process they also gained access to personal records of the more than 230,000 patients of the health center.",2010,healthcare,hacked,231400,20,
70,"South Shore Hospital, Massachusetts","South Shore Hospital hired a contractor to destroy files no longer in use and lost the shipment. The back-up computer files possibly contained names, addresses, phone numbers, dates of birth, Social Security numbers, driverâ€™s license numbers, medical record numbers, patient numbers, health plan information, protected health information including diagnoses and treatments. As well as bank account and credit card numbers for some. Patients, employees, physicians, volunteers, donors, vendors and other business partners were effected. ",2010,healthcare,lost / stolen media ,800000,50000,ITRC
71,"Triple-S Salud, Inc.",,2010,healthcare,lost / stolen media,398000,4000,
72,US Federal Reserve Bank of Cleveland,"A Malaysian man has been charged with hacking into major U.S. corporations, including the U.S. Federal Reserve Bank of Cleveland and FedComp after U.S. Secret Service investigators found more than ""400,000 stolen credit and debit card account numbers allegedly obtained by hacking into various computer systems of other financial institutions""",2010,financial,hacked,400000,300,ITRC
73,US Military,WIKILEAKS!,2010,military,inside job,260000,50000,Guardian
74,Yale University,,2010,academic,accidentally published,43000,20,ITRC
75,178.com,gaming website,2011,web,hacked,10000000,1,
76,Accendo Insurance Co. ,"Mismailed letters which allowed some lines of sensitive information (medication name, date of birth, and member ID) to be visible through the envelope window. The mailings were addressed correctly and, to the knowledge of the company, were received by the intended recipients.",2011,healthcare,poor security,175350,4000,
77,Bethesda Game Studios,"Hacking collective Lulzsec stole account information of 200,000 user.",2011,gaming,hacked,200000,1,PC World
78,China Software Developer Network,,2011,web,hacked,6000000,1,
79,Citigroup,"Less than 1% of Citbank card holders' names, account numbers, and contact information such as e-mail addresses were stolen. Card security codes were not stolen. ",2011,financial,hacked,360083,300,PC World
80,Countrywide Financial Corp,mortgage lender,2011,financial,inside job,2500000,20,
81,Eisenhower Medical Center,"Stolen computer contained data listing patients' names, ages, dates of birth, medical record numbers and the last four digits of their social security numbers.",2011,healthcare,lost / stolen computer,514330,4000,
82,Health Net - IBM,"Several server drives, containing personal information of former and current employees, went missing.",2011,healthcare,lost / stolen media ,1900000,300,ITRC
83,Honda Canada,"Names, addresses and vehicle identification numbers were taken from the companyâ€™s eCommerce websites myHonda and myAcura",2011,retail,poor security,283000,20,
84,Massachusetts Government,"Over 1,500 departmental computers were infected with the W32.QAKBOT virus, a malicious program which â€œdownloads additional files, steals information, and opens a back door on the compromised computerâ€ù. ",2011,government,poor security,210000,50000,ITRC
85,Memorial Healthcare System,"An employee of an affiliated physicianâ€™s office may have improperly accessed patient information through a web portal used by physicians who provide care and treatment at MHS. Specifically, patientsâ€™ names, dates of birth, and Social Security numbers.",2011,healthcare,lost / stolen media,102153,20,
86,Morgan Stanley Smith Barney,Morgan Stanley mailed a CD containing sensitive data about investors in tax-exempt funds and bonds to the New York State Department of Taxation and Finance. The package arrived at the building but when it arrived at the relevant desk the data CD was missing.,2011,financial,lost / stolen media ,34000,300,ITRC
87,Nemours Foundation,A health care organization that runs childrenâ€™s hospitals reported the loss of 1.05 million records when data backup tapes were lost.,2011,healthcare,lost / stolen media ,1055489,4000,
88,Nexon Korea Corp,game developer,2011,web,hacked,13200000,20,
89,NHS,A laptop holding the unencrypted records of eight million patients went missing from an NHS store room and wasn't reported until 3 weeks later. ,2011,healthcare,lost / stolen media ,8300000,4000,Tech Week
90,Oregon Department of Motor Vehicles,"Sheriff's detectives arrested Tim Nuss  for accessing an old Oregon Department of Motor Vehicles database. The DMV database was once sold to marketing companies, but the department stopped selling the information in the late 1990s. The sold data include the names, addresses, birth dates, gender and ages of people who registered with the DMV, but no financial information.  ",2011,government,poor security,1000000,20,ITRC
91,Restaurant Depot,,2011,retail,hacked,200000,300,ITRC
92,San Francisco Public Utilities Commission ,,2011,government,hacked,180000,1,
93,Sega,"Information stolen during the hack includes names, birth dates, e-mail addresses and passwords from Sega Pass, a system for users interested in newsletters and for registering certain products. ",2011,gaming,hacked,1290755,4000,ZD Net
94,Sony Online Entertainment,"Hacked by LulzSec. In addition to the Sony Playstation Network breach, compromised 77 million records. More than 23,000 lost financial data, according to Sony.",2011,gaming,hacked,24600000,300,Computer World
95,Sony Pictures,"LulzSec hacking collective stated all of the information it took was unencrypted, â€œSony stored over 1,000,000 passwords of its customers in plaintext."" More than 1 million user accounts were compromised. An additional 75,000 music codes and 3.5 million coupons were also uncovered.",2011,web,hacked,1000000,1,Mashable
96,Sony PSN,"Rounding off a thoroughly unhappy year for Sony, their third breach saw the loss of 76,000,000 Sony PSN and Qriocity user accounts to hacking collective Lulzsec.",2011,gaming,hacked,77000000,1,Mashable
97,Southern California Medical-Legal Consultants,"Electronic files containing names and social security numbers of approximately 300,000 individuals who have applied for California workersâ€™ compensation benefits had been exposed to unauthorized access.",2011,healthcare,hacked,300000,20,
